"","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample20","Sample6","Sample63","Sample7","Sample8","Sample9"
"Or10j3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10j3b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10j5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Or10j7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10k2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10l1-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10m1-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10n1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10n7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10p1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10p21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10p22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10q1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10q12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10q1b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10q3",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Or10s1",0,1,0,1,0,0,0,1.058,1,1,0,0,0,0,0
"Or10u3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10u4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10v1",0,0,0,0,0,3.001,0,0,0,0,0,0,0,0,0
"Or10v5",3,1,3,0,0,0,0,1.002,2.335,2.001,1.001,0,0,0,0
"Or10v9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10w1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10x1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10x4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or10z1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11a4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11a5-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11g1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11g2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11g24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11g25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11g26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11g27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11g7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11h23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11h4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11h4b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11h6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11h7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11j4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11l3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11m3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
